CheeseId,CheeseNameEn,CheeseNameFr,ManufacturerNameEn,ManufacturerNameFr,ManufacturerProvCode,ManufacturingTypeEn,ManufacturingTypeFr,WebSiteEn,WebSiteFr,FatContentPercent,MoisturePercent,ParticularitiesEn,ParticularitiesFr,FlavourEn,FlavourFr,CharacteristicsEn,CharacteristicsFr,RipeningEn,RipeningFr,Organic,CategoryTypeEn,CategoryTypeFr,MilkTypeEn,MilkTypeFr,MilkTreatmentTypeEn,MilkTreatmentTypeFr,RindTypeEn,RindTypeFr,LastUpdateDate
228,,Sieur de Duplessis (Le),,Fromages la faim de loup,NB,Farmstead,Fermière,,,24.2,47,,,"Sharp, lactic",Marquée et lactée,Uncooked,Pâte non cuite,9 Months,9 mois,0,Firm Cheese,Pâte ferme,Ewe,Brebis,Raw Milk,Lait cru,Washed Rind,Croûte lavée,2016-02-03
242,,Tomme Le Champ Doré,,Fromages la faim de loup,NB,Farmstead,Fermière,,,24.2,47.9,,,"Sharp, lactic, lightly caramelized","Marquée, lactée et légèrement caramélisée",Uncooked,Pâte non cuite,,,0,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Raw Milk,Lait cru,Washed Rind,Croûte lavée,2016-02-03
301,Provolone Sette Fette (Tre-Stelle),Provolone Sette Fette (Tre-Stelle),Tre Stelle (Arla Foods),,ON,Industrial,Industrielle,http://www.trestelle.ca/english/,http://www.trestelle.ca/francais/,24,54,,,"Mild, tangy, and fruity","douce, piquante, et fruitée","Pressed and cooked cheese, pasta filata, interiror ripened","Pâte pressée, cuite, filée, affinée dans la masse",,,0,Firm Cheese,Pâte ferme,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
303,,Geai Bleu (Le),,Fromages la faim de loup,NB,Farmstead,Fermière,,,29,47,,,Sharp with fruity notes and a hint of wild honey,Prononcée avec des notes fruitées et un soupçon de miel sauvage,,,3 Months,3 mois,0,Veined Cheeses,Pâte persillée,Cow,Vache,Raw Milk,Lait cru,,,2016-02-03
319,,Gamin (Le),,Fromages la faim de loup,NB,Farmstead,Fermière,,,24.6,49.4,,,Softer taste,Doux,,,2 Months,2 mois,1,Semi-soft Cheese,Pâte demi-ferme,Cow,Vache,Raw Milk,Lait cru,Washed Rind,Croûte lavée,2016-02-03
350,Paneer (Northumberland Co-operative),,Northumberland Co-operative,,NB,Industrial,Industrielle,http://www.northumberlanddairy.ca/e/0001e.cfm,http://www.northumberlanddairy.ca/f/0001f.cfm,25,48,"Traditional Indian Cheese, also available : Light Paneer","Fromage traditionnel indien, aussi disponible: Paneer léger",,,Classic fresh cooking cheeses,Fromage frais classique pour la cuisson,Less than 1 Month,moins de 1 mois,0,Fresh Cheese,Pâte fraîche,Cow,Vache,Pasteurized,Pasteurisé,,,2016-02-03
374,Goat Brie (Woolwich),,Woolwich Dairy,,ON,Industrial,Industrielle,http://www.woolwichdairy.com,http://www.woolwichdairy.com/french.aspx,22,52,"Rennet free, ripens from the outside in","Sans présure, affiné en surface","Rich, creamy, buttery, both subtle and tangy in taste","Riche, crèmeuse, butyreuse, goût doux et piquant",,,Less than 1 Month,moins de 1 mois,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,Bloomy Rind,Croûte fleurie,2016-02-03
375,Goat Cheddar (Woolwich),,Woolwich Dairy,,ON,Industrial,Industrielle,http://www.woolwichdairy.com,http://www.woolwichdairy.com/french.aspx,29,41,"Medium Aged, rennet free",Moyennement agé,Mild,Doux,"Whitem, smooth, firm textured","Blanc, doux, ferme",4 Months,4 mois,0,Firm Cheese,Pâte ferme,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
376,Goat Mozarella (Woolwich),,Woolwich Dairy,,ON,Industrial,Industrielle,http://www.woolwichdairy.com,http://www.woolwichdairy.com/french.aspx,22,50,Rennet free,Sans présure,Mild,Doux,,,,,0,Semi-soft Cheese,Pâte demi-ferme,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
378,Goat Feta (Woolwich),,Woolwich Dairy,,ON,Industrial,Industrielle,http://www.woolwichdairy.com,http://www.woolwichdairy.com/french.aspx,22,55,Rennet free,Sans présure,"Sharp, tangy, salty","Fort, piquant, salé",With or without brine,Additionnée ou non d'alcool,Less than 1 Month,moins de 1 mois,0,Soft Cheese,Pâte molle,Goat,Chèvre,Pasteurized,Pasteurisé,,,2016-02-03
